Time,Position,Error,Speed,Voltage
1.4872,6.91389,4,60.8333,1.38905,
1.51178,6.93264,3,59.5833,1.3172,
1.51593,6.93264,5,59.5833,1.32918,
1.53436,6.94931,4,58.3333,1.32918,
1.53824,6.96597,2,56.6667,1.26931,
1.54683,6.96597,2,56.6667,1.26931,
1.54904,6.96597,4,56.6667,1.26931,
1.57165,6.98125,7,54.5833,1.28128,
1.57449,6.98125,7,54.5833,1.28128,
1.59498,6.99653,10,52.5,1.26931,
1.59957,7.01181,10,50.4167,1.26931,
1.61458,7.01181,11,50.4167,1.24536,
1.61697,7.01181,11,50.4167,1.24536,
1.63135,7.02639,11,48.75,1.24536,
1.63516,7.02639,11,48.75,1.24536,
1.65308,7.04167,12,47.0833,1.22141,
1.65891,7.05625,11,45.8333,1.19746,
1.67688,7.05625,12,45.8333,1.18548,
1.67932,7.07014,12,45,1.18548,
1.68903,7.07014,13,45,1.18548,
1.69161,7.07014,13,45,1.18548,
1.70705,7.08264,11,44.1667,1.13759,
1.70937,7.08264,11,44.1667,1.13759,
1.73601,7.09583,12,42.9167,1.11364,
1.74307,7.10694,12,41.6667,1.11364,
1.75233,7.10694,10,41.6667,1.07771,
1.75446,7.10694,10,41.6667,1.07771,
1.76978,7.11806,11,40,1.02981,
1.77416,7.11806,11,40,1.02981,
1.79057,7.12778,16,35.8333,1.02981,
1.80806,7.1375,15,35.8333,1.02981,
1.81867,7.14653,18,33.75,1.05376,
1.82312,7.14653,21,33.75,1.07771,
1.84744,7.15486,21,31.6667,1.04179,
1.85193,7.15486,21,31.6667,1.04179,
1.87961,7.17083,25,27.9167,1.04179,
1.8866,7.17083,25,27.9167,1.04179,
1.90169,7.17847,25,26.6667,1.02981,
1.9115,7.17847,23,26.6667,0.957967,
1.91905,7.18542,23,25.4167,0.957967,
1.92409,7.18542,25,25.4167,0.969941,
1.95309,7.19167,25,24.1667,0.969941,
1.97491,7.19792,24,22.9167,0.922043,
1.98075,7.20347,25,21.25,0.898094,
1.98767,7.20347,23,21.25,0.850196,
2.00517,7.20903,25,20,0.86217,
2.01051,7.20903,27,20,0.886119,
2.04853,7.21806,28,17.5,0.86217,
2.06514,7.22222,26,16.25,0.802297,
2.07413,7.22222,26,16.25,0.802297,
2.07674,7.22222,21,16.25,0.694526,
2.08555,7.22569,21,15,0.694526,
2.08783,7.22569,23,15,0.718475,
2.11335,7.22917,25,13.75,0.718475,
2.11787,7.23125,25,12.5,0.718475,
2.15121,7.23264,26,10.8333,0.718475,
2.15774,7.23264,28,9.58333,0.718475,
2.17527,7.23403,29,9.58333,0.7065,
2.17759,7.23403,29,9.58333,0.7065,
2.18635,7.23472,27,7.91667,0.634653,
2.18865,7.23472,27,7.91667,0.634653,
2.212,7.23542,29,6.25,0.622678,
2.21533,7.23542,29,6.25,0.622678,
2.23432,7.23542,29,4.58333,0.586755,
2.23852,7.23542,29,3.33333,0.586755,
2.24976,7.23542,28,3.33333,0.586755,
2.2526,7.23542,29,3.33333,0.562805,
2.27721,7.23542,30,1.25,0.550831,
2.2835,7.23542,31,1.25,0.562805,
2.31129,7.23542,28,0.416667,0.502933,
2.3141,7.23542,28,0.416667,0.502933,
2.32637,7.23542,24,0,0.431085,
2.32905,7.23542,24,0,0.431085,
2.35301,7.23542,21,0,0.359238,
2.35717,7.23542,21,0,0.359238,
2.38444,7.23542,17,0,0.28739,
2.38695,7.23542,17,0,0.28739,
2.41287,7.23542,13,0,0.215543,
2.4179,7.23542,8,0,0.143695,
2.44957,7.23542,8,0,0.144282,
2.45653,7.23542,8,0,0.144282,
2.47804,7.23542,4,0,0.0721408,
2.48045,7.23542,4,0,0.0721408,
0.005097,0,4,0,0.253519,
0.027228,0,4,0,0,
0.059238,0,4,0,0,
0.109166,0,4,0,0,
0.143709,0,0,0,0.0482893,
0.157048,0,0,0,0.181085,
0.179899,0,6,0,0.639834,
0.223896,0.00486111,45,0.416667,2.77742,
0.270046,0.0243056,69,5.41667,4.05191,
0.299125,0.0416667,74,20,4.40059,
0.319579,0.0659722,73,20,4.16657,
0.340128,0.0958333,92,46.25,5.04545,
0.395249,0.228472,54,81.25,4.29677,
0.444395,0.397222,44,135.833,4.24927,
0.483062,0.516667,10,160.833,3.10264,
0.507112,0.573611,-8,168.333,2.4956,
0.530762,0.631944,-29,172.5,1.71994,
0.581135,0.788889,-19,172.083,2.25396,
0.597964,0.788889,-22,172.083,2.14663,
0.621292,0.890278,-35,162.083,1.68152,
0.659095,0.940278,-43,157.083,2.68328,
0.701371,1.08194,-12,147.917,2.58651,
0.718946,1.08194,-12,147.917,2.58651,
0.738192,1.12708,-11,146.25,2.62243,
0.763875,1.21736,-10,141.25,2.65836,
0.818144,1.31806,10,138.333,3.33548,
0.850055,1.41389,6,140.833,3.12258,
0.877617,1.46042,-2,142.917,2.83871,
0.906007,1.5625,27,146.25,3.67962,
0.93941,1.61597,10,149.167,3.04883,
0.956425,1.66736,0,149.167,2.9437,
0.990053,1.77153,-16,153.75,2.3129,
1.02374,1.87361,8,155,3.15396,
1.08292,2.02153,-8,152.5,2.62581,
1.11842,2.07014,17,151.25,3.5129,
1.16272,2.22083,2,148.333,2.98065,
1.18664,2.27014,-4,147.917,2.76774,
1.23472,2.37153,15,149.583,3.44194,
1.29416,2.525,-11,151.667,2.51935,
1.31379,2.575,-15,152.5,2.37742,
1.36821,2.72639,2,151.667,2.98065,
1.40102,2.82431,-7,150.417,2.69677,
1.48107,2.97222,7,147.5,3.15806,
1.52799,3.12083,-5,147.083,2.79164,
1.54844,3.16875,26,147.5,3.8871,
1.63888,3.375,-12,150.417,2.46334,
1.66903,3.47639,12,152.917,3.30792,
1.70389,3.57986,-3,153.75,2.6393,
1.74017,3.62986,-13,153.333,2.42815,
1.75439,3.67917,-15,153.333,2.44839,
1.78021,3.72778,13,151.25,3.37097,
1.81484,3.82778,0,150,2.90968,
1.85464,3.97431,-10,148.333,2.51935,
1.89382,4.02153,21,147.917,3.72581,
1.96853,4.22222,-4,146.667,2.76774,
1.98381,4.27222,-7,147.917,2.66129,
0.002272,4.31806,-112,148.75,0,
0.004408,4.36181,7,147.917,3.25269,
0.011289,4.38542,-345,143.75,-3.02796,
0.015202,4.38542,-345,143.75,-3.02796,
0.017519,4.38542,-345,143.75,-3.02796,
0.058886,4.45625,-59,124.583,1.58495,
0.060996,4.45625,-59,124.583,1.58495,
0.071243,4.49236,-45,114.583,1.71505,
0.07334,4.49236,-45,114.583,3.84409,
0.097592,4.53472,95,108.333,3.96237,
0.101042,4.53472,95,108.333,3.96237,
0.125064,4.58958,84,107.5,3.8086,
0.13199,4.63681,74,114.167,3.71398,
0.147815,4.67917,58,123.333,3.53656,
0.152164,4.67917,46,123.333,3.43011,
0.17918,4.72431,22,132.083,3.19355,
0.18306,4.72431,22,132.083,3.19355,
0.23158,4.85972,9,137.083,3.02546,
0.234349,4.85972,9,137.083,3.02546,
0.25293,4.90764,4,135.833,2.92033,
0.255982,4.90764,4,135.833,2.92033,
0.277345,4.95486,1,135,2.85024,
0.280466,4.95486,1,135,2.85024,
0.323272,5.04583,-10,138.333,2.75591,
0.325225,5.04583,-10,138.333,2.75591,
0.377488,5.18194,-14,137.917,2.68495,
0.380684,5.18194,-14,137.917,2.68495,
0.406671,5.22778,-19,136.667,2.56667,
0.410061,5.27292,-19,136.25,2.56667,
0.423932,5.27292,-23,136.25,2.4957,
0.426581,5.27292,-23,136.25,2.4957,
0.438401,5.31736,-25,135.833,2.4585,
0.441663,5.31736,-25,135.833,2.4585,
0.472814,5.40486,-25,135,2.44663,
0.481278,5.40486,-29,135,2.36349,
0.489483,5.44861,-28,134.167,2.36349,
0.499467,5.44861,-28,134.167,2.36349,
0.533075,5.53403,-25,132.083,2.38724,
0.540925,5.53403,-24,132.083,2.38724,
0.558291,5.57708,-28,130.833,2.28035,
0.561127,5.57708,-28,130.833,2.28035,
0.585135,5.62014,-29,130,2.2566,
0.587976,5.62014,-29,129.167,2.2566,
0.61053,5.69931,-31,127.917,2.18534,
0.614818,5.69931,-29,127.917,2.20909,
0.63459,5.73819,-26,125.833,2.20909,
0.644289,5.73819,-26,123.333,2.18534,
0.665885,5.77639,-22,123.333,2.24472,
0.670902,5.81528,-23,120.833,2.17346,
0.680724,5.81528,-20,120.833,2.19721,
0.683338,5.81528,-20,120.833,2.19721,
0.703835,5.85208,-17,118.333,2.20909,
0.708857,5.88958,-17,116.25,2.20909,
0.739328,5.92708,-14,114.583,2.19721,
