Pos (rotation), Setpoint, Error (counts), Speed, Voltage, Current
-6.05347, 1, -1, -117.5, -2.44839, 0.375
-6.09375, 1, 5, -117.917, -2.4129, 0.375
-6.13403, 1, 8, -118.333, -2.37742, 0.375
-6.175, 1, 16, -118.75, -2.30645, 0.375
-6.21528, 1, -6, -119.167, -2.51935, 0.375
-6.25694, 1, 2, -120, -2.43656, 0.375
-6.29722, 1, 8, -120.833, -2.37742, 0.375
-6.3375, 1, 12, -121.667, -2.34194, 0.25
-6.37778, 1, 19, -121.667, -2.2828, 0.25
-6.41806, 1, -4, -121.667, -2.48387, 0.25
-6.45764, 1, 1, -121.25, -2.4585, 0.25
-6.49722, 1, 7, -120.833, -2.39912, 0.25
-6.53681, 1, 13, -120, -2.35161, 0.25
-6.57708, 1, 16, -119.583, -2.31598, 0.375
-6.61597, 1, 21, -119.167, -2.28035, 0.375
-6.65556, 1, -2, -119.167, -2.47038, 0.375
-6.69375, 1, 2, -118.75, -2.43656, 0.375
-6.73333, 1, 6, -118.333, -2.40108, 0.375
-6.77292, 1, 9, -117.917, -2.35376, 0.375
-6.81181, 1, 13, -117.5, -2.34194, 0.375
-6.85, 1, -13, -117.083, -2.55484, 0.25
-6.88819, 1, -9, -116.667, -2.51935, 0.375
-6.92708, 1, -4, -116.25, -2.48387, 0.375
-6.96597, 1, -1, -116.25, -2.47204, 0.375
-7.00486, 1, 2, -115.833, -2.46022, 0.375
-7.04375, 1, 7, -115.833, -2.38925, 0.375
-7.08403, 1, -16, -116.25, -2.61398, 0.375
-7.12431, 1, -10, -116.667, -2.53118, 0.375
-7.16389, 1, -3, -117.5, -2.47204, 0.375
-7.20486, 1, 0, -118.333, -2.44839, 0.375
-7.24722, 1, 10, -119.583, -2.36559, 0.375
-7.28819, 1, -11, -120.833, -2.54301, 0.375
-7.32917, 1, -4, -121.667, -2.48387, 0.375
-7.36944, 1, 3, -122.5, -2.42473, 0.25
-7.41181, 1, 13, -122.917, -2.34194, 0.375
-7.45347, 1, 18, -123.333, -2.27097, 0.25
-7.49375, 1, 24, -123.333, -2.23548, 0.25
-7.53333, 1, 0, -123.333, -2.44839, 0.25
-7.57222, 1, 5, -122.5, -2.43656, 0.25
-7.61181, 1, 11, -121.667, -2.35376, 0.375
-7.65139, 1, 15, -120.417, -2.32786, 0.375
-7.69028, 1, 18, -119.167, -2.30411, 0.25
-7.72847, 1, -7, -118.333, -2.54164, 0.375
-7.76806, 1, -1, -117.5, -2.4585, 0.375
-7.80764, 1, 4, -117.5, -2.42287, 0.375
-7.84792, 1, 10, -117.5, -2.37537, 0.375
-7.88819, 1, 13, -117.917, -2.33226, 0.375
-7.92917, 1, 21, -118.333, -2.26158, 0.375
-7.96944, 1, -1, -119.167, -2.43827, 0.375
-8.00972, 1, 5, -120, -2.40293, 0.375
-8.04931, 1, 10, -120.417, -2.37937, 0.375
-8.08958, 1, 14, -120.833, -2.32048, 0.375
-8.12847, 1, 19, -120.417, -2.2828, 0.375
-8.16736, 1, -6, -120, -2.4957, 0.375
-8.20486, 1, -3, -119.167, -2.47204, 0.375
-8.24514, 1, 3, -117.917, -2.42473, 0.375
-8.28472, 1, 9, -117.5, -2.40108, 0.375
-8.325, 1, 12, -117.083, -2.34194, 0.375
-8.36458, 1, 18, -117.5, -2.29462, 0.375
-8.40486, 1, -4, -117.917, -2.48387, 0.375
-8.44583, 1, 3, -118.75, -2.44839, 0.375
-8.48542, 1, 8, -119.583, -2.37742, 0.375
-8.525, 1, 14, -120, -2.31828, 0.25
-8.56528, 1, 18, -120, -2.27097, 0.25
-8.60417, 1, -5, -120, -2.40108, 0.375
-8.64306, 1, 2, -119.583, -2.30645, 0.25
-8.68056, 1, 6, -118.75, -2.23548, 0.25
-8.71597, 1, 9, -117.5, -2.10538, 0.25
-8.75208, 1, 14, -115.417, -2.04624, 0.25
-8.78611, 1, 19, -113.333, -1.88065, 0.25
-8.81806, 1, 0, -110.417, -1.88842, 0.25
-8.84792, 1, 3, -107.083, -1.76965, 0.25
-8.87569, 1, 6, -102.917, -1.60337, 0
-8.90139, 1, 9, -97.9167, -1.46085, 0
-8.92569, 1, 10, -92.5, -1.38959, 0
-8.94653, 1, -5, -86.6667, -1.30645, 0
-8.96458, 1, -6, -80.4167, -1.24027, 0
-8.98056, 1, -8, -73.75, -1.15679, 0
-8.99444, 1, -9, -67.0833, -1.06139, 0
-9.00625, 1, -11, -60, -0.965982, 0
-9.01458, 1, -16, -52.5, -0.882502, 0.25
-9.02153, 1, -29, -45, -0.822874, 0
-9.02639, 1, -33, -37.9167, -0.75132, 0
-9.02986, 1, -38, -31.25, -0.691691, 0
-9.03194, 1, -40, -24.5833, -0.66784, 0
-9.03403, 1, -43, -18.75, -0.58436, 0
-9.03403, 1, -49, -13.75, -0.560508, 0
-9.03403, 1, -52, -9.58333, -0.536657, 0
-9.03403, 1, -53, -6.25, -0.502933, 0
-9.03403, 1, -54, -3.75, -0.490958, 0
-9.03403, 1, -54, -2.08333, -0.478983, 0
-9.03403, 0, -54, 0, 0, 0
0, 0, -54, 0, 0, 0.125
0, 0, -54, 0, 0, 0.125
0, 0, -54, 0, 0, 0
0, 0, -54, 0, 0, 0
0, 0, -54, 0, 0, 0
0, 0, -54, 0, 0, 0
0, 1, 0, 0, 0, 0
0, 1, 0, 0, 0, 0
0, 1, 0, 0, 0.0359238, 0
0, 1, 2, 0, 0.0838221, 0
0, 1, 4, 0, 0.167644, 0
0, 1, 10, 0, 0.311339, 0
0, 1, 16, 0, 0.455034, 0
0, 1, 20, 0, 0.538856, 0
0, 1, 29, 0, 0.7065, 0.25
0, 1, 41, 0, 0.934018, 0.25
0, 1, 55, 0, 1.18548, 0.375
0.00416667, 1, 73, 0, 1.5088, 0.375
0.0125, 1, 77, 1.66667, 1.62043, 0.625
0.0256944, 1, 79, 5, 1.73871, 0.75
0.0444444, 1, 75, 11.6667, 1.79785, 0.75
0.0673611, 1, 67, 20.8333, 1.85699, 0.75
0.0923611, 1, 76, 32.9167, 2.12903, 0.75
0.11875, 1, 68, 45.4167, 2.17634, 0.625
0.147222, 1, 64, 57.0833, 2.23803, 0.625
0.178472, 1, 55, 67.0833, 2.2498, 0.625
0.2125, 1, 44, 75.4167, 2.27336, 0.625
0.247917, 1, 33, 82.9167, 2.26158, 0.625
0.284722, 1, 48, 89.5833, 2.54428, 0.625
0.323611, 1, 35, 95.8333, 2.50894, 0.625
0.365278, 1, 28, 102.083, 2.4868, 0.625
0.40625, 1, 17, 107.917, 2.43988, 0.625
0.449306, 1, 3, 113.333, 2.3695, 0.625
0.492361, 1, 19, 117.917, 2.56891, 0.375
0.535417, 1, 7, 122.083, 2.47507, 0.375
0.579167, 1, -5, 125, 2.39296, 0.375
0.623611, 1, -12, 127.5, 2.33226, 0.375
0.665972, 1, -21, 128.75, 2.26158, 0.375
0.707639, 1, -30, 129.583, 2.17913, 0.375
0.747917, 1, -8, 129.167, 2.33226, 0.375
0.788194, 1, -14, 127.917, 2.32048, 0.375
0.827778, 1, -16, 126.25, 2.29692, 0.375
0.867361, 1, -21, 123.75, 2.28514, 0.375
0.906944, 1, -28, 121.667, 2.19091, 0.375
0.946528, 1, -3, 120.417, 2.43827, 0.375
0.985417, 1, -7, 119.167, 2.37937, 0.375
1.02431, 1, -10, 118.333, 2.37937, 0.375
1.06389, 1, -16, 117.917, 2.32048, 0.375
1.10417, 1, -22, 117.917, 2.2498, 0.375
1.14375, 1, -28, 117.917, 2.19091, 0.375
1.18333, 1, -4, 118.333, 2.40293, 0.375
1.22431, 1, -8, 118.75, 2.33226, 0.375
1.26458, 1, -16, 119.167, 2.29692, 0.375
1.30625, 1, -24, 120, 2.22625, 0.375
1.34792, 1, -32, 120.833, 2.15557, 0.375
1.38819, 1, -10, 121.667, 2.37937, 0.375
1.42708, 1, -15, 122.083, 2.33226, 0.375
1.46875, 1, -20, 122.083, 2.28514, 0.375
1.51042, 1, -28, 122.083, 2.19091, 0.375
1.55, 1, -34, 122.083, 2.14379, 0.375
1.58958, 1, -39, 121.667, 2.09668, 0.375
1.62778, 1, -14, 121.25, 2.32048, 0.375
1.66597, 1, -15, 120, 2.33226, 0.375
1.70556, 1, -20, 119.167, 2.26158, 0.375
1.74444, 1, -24, 117.917, 2.22625, 0.375
1.78264, 1, -28, 116.667, 2.19091, 0.375
1.82083, 1, -1, 116.25, 2.45161, 0.375
1.85833, 1, -3, 115.833, 2.41642, 0.625
1.89722, 1, -6, 115.417, 2.38123, 0.625
1.93681, 1, -12, 115, 2.32258, 0.625
1.97639, 1, -17, 115, 2.28739, 0.625
2.01458, 1, -20, 115.417, 2.2522, 0.375
2.05278, 1, 5, 115.833, 2.47361, 0.625
2.09167, 1, 2, 116.25, 2.45005, 0.625
2.13194, 1, -4, 116.25, 2.41471, 0.625
2.17153, 1, -9, 116.667, 2.3676, 0.625
2.2125, 1, -17, 117.083, 2.29692, 0.375
2.25278, 1, 6, 117.917, 2.50894, 0.375
2.29306, 1, -2, 119.167, 2.43988, 0.375
2.33542, 1, -7, 120, 2.3695, 0.375
2.37639, 1, -15, 121.25, 2.29912, 0.375
2.41597, 1, -20, 122.083, 2.2522, 0.375
2.45625, 1, -27, 122.083, 2.21701, 0.375
2.49653, 1, -4, 122.083, 2.39296, 0.375
2.53542, 1, -7, 121.667, 2.3695, 0.375
2.575, 1, -11, 120.833, 2.35777, 0.375
2.61458, 1, -17, 120, 2.28739, 0.375
2.65417, 1, -23, 119.167, 2.22874, 0.375
2.69375, 1, 1, 118.75, 2.42815, 0.375
2.73264, 1, -1, 118.333, 2.42815, 0.375
2.77292, 1, -7, 118.333, 2.34604, 0.375
2.81319, 1, -14, 118.333, 2.31085, 0.375
2.85278, 1, -20, 118.75, 2.21701, 0.375
2.89306, 1, -25, 118.75, 2.21701, 0.375
2.93264, 1, -2, 119.167, 2.41642, 0.375
2.97222, 1, -4, 119.167, 2.38123, 0.375
3.0125, 1, -11, 119.583, 2.33431, 0.375
3.05208, 1, -17, 119.583, 2.28739, 0.375
3.09167, 1, -22, 119.167, 2.24047, 0.375
3.13056, 1, 3, 119.167, 2.47507, 0.375
3.16875, 1, -1, 118.75, 2.45161, 0.375
3.20833, 1, -4, 118.333, 2.39296, 0.375
3.24722, 1, -8, 117.917, 2.38123, 0.375
3.28681, 1, -14, 117.083, 2.31085, 0.375
3.32708, 1, -21, 117.083, 2.2522, 0.375
3.36736, 1, 2, 117.5, 2.43988, 0.375
3.40625, 1, 1, 117.917, 2.45161, 0.375
