Pos (rotation), Setpoint, Error (counts), Speed, Voltage, Current
7.34931, 1, 26, 121.25, 2.68416, 1.25
7.38958, 1, 52, 120.833, 2.9217, 1.25
7.42986, 1, 45, 120.417, 2.85044, 1.375
7.47083, 1, 37, 120.417, 2.77918, 1.25
7.51111, 1, 31, 120.417, 2.69604, 1.375
7.55278, 1, 22, 120.417, 2.64853, 1.25
7.59444, 1, 43, 121.25, 2.83856, 1.25
7.63472, 1, 40, 122.083, 2.81481, 1.25
7.675, 1, 33, 122.5, 2.74355, 1.25
7.71528, 1, 26, 122.5, 2.68416, 1
7.75417, 1, 22, 122.083, 2.67229, 1.25
7.79306, 1, 19, 121.25, 2.62478, 1.25
7.82917, 1, 48, 120, 2.90982, 1.25
7.86667, 1, 46, 117.917, 2.85054, 1.375
7.90556, 1, 42, 115.833, 2.81505, 1.5
7.94514, 1, 37, 114.583, 2.76774, 1.5
7.98403, 1, 32, 114.167, 2.73226, 1.375
8.02292, 1, 56, 114.583, 2.96882, 1.375
8.06319, 1, 53, 115.417, 2.93333, 1.375
8.10486, 1, 44, 116.667, 2.83871, 1.375
8.14514, 1, 36, 118.333, 2.76774, 1.25
8.18472, 1, 32, 119.583, 2.73226, 1.25
8.225, 1, 26, 120.417, 2.67312, 1.25
8.26458, 1, 51, 120.833, 2.89785, 1.375
8.30486, 1, 46, 120.833, 2.85054, 1.25
8.34444, 1, 41, 120, 2.82688, 1.375
8.38403, 1, 35, 119.583, 2.77957, 1.25
8.425, 1, 27, 119.167, 2.68495, 1.375
8.46528, 1, 49, 119.167, 2.86237, 1.25
8.50556, 1, 46, 119.583, 2.83871, 1.25
8.54583, 1, 39, 120, 2.74409, 1.25
8.58681, 1, 30, 120.417, 2.66041, 1
8.62639, 1, 22, 120.833, 2.54164, 1
8.66389, 1, 17, 120.833, 2.411, 0.875
8.7, 1, 40, 120, 2.54164, 0.875
8.73472, 1, 35, 117.917, 2.39912, 0.875
8.76736, 1, 31, 114.583, 2.26848, 0.875
8.79792, 1, 29, 110.833, 2.14663, 0.875
8.82569, 1, 30, 105.417, 2.06315, 0.875
8.85069, 1, 50, 100, 2.07507, 0.875
8.875, 1, 49, 93.75, 1.94389, 0.875
8.89722, 1, 48, 87.5, 1.87234, 0.875
8.91806, 1, 46, 81.25, 1.7173, 0.75
8.9375, 1, 45, 75.4167, 1.55034, 0.75
8.95347, 1, 46, 70, 1.46686, 0.625
8.96736, 1, 59, 64.5833, 1.45494, 0.625
8.97847, 1, 61, 58.75, 1.35953, 0.625
8.98681, 1, 65, 52.0833, 1.27605, 0.625
8.99236, 1, 70, 45, 1.16872, 0.625
8.99792, 1, 74, 37.5, 1.12561, 0.625
9.00139, 1, 76, 30.4167, 1.04179, 0.625
9.00486, 1, 82, 23.75, 1.00587, 0.625
9.00625, 1, 85, 18.75, 0.945992, 0.625
9.00694, 1, 88, 14.1667, 0.922043, 0.625
9.00694, 1, 91, 10.4167, 0.886119, 0.625
9.00694, 1, 92, 7.08333, 0.86217, 0.625
9.00694, 1, 93, 4.58333, 0.838221, 0.625
9.00694, 1, 93, 2.5, 0.826246, 0.625
8.60556, 0, 93, 0, 0, 0.25
0, 0, 93, 0, 0, 0.125
0, 0, 93, 0, 0, 0.125
0, 0, 93, 0, 0, 0.125
0, 0, 93, 0, 0, 0.25
0, 0, 93, 0, 0, 0.25
0, 0, 93, 0, 0, 0.25
0, 1, 0, 0, 0, 0.25
0, 1, 0, 0, 0, 0.25
0, 1, 0, 0, 0.0359238, 0.25
0, 1, 3, 0, 0.119746, 0.25
0, 1, 6, 0, 0.203568, 0.25
0, 1, 10, 0, 0.311339, 0.375
0, 1, 13, 0, 0.455034, 0.375
0, 1, 20, 0, 0.538856, 0.375
0, 1, 35, 0, 0.814272, 0.5
0, 1, 48, 0, 1.06574, 0.5
0, 1, 63, 0, 1.3172, 0.625
0.00138889, 1, 78, 0, 1.58065, 0.75
0.00763889, 1, 83, 0.833333, 1.66276, 1
0.0180556, 1, 90, 2.91667, 1.84091, 1.25
0.0326389, 1, 107, 7.5, 2.18534, 1.375
0.0506944, 1, 108, 15, 2.32786, 1.5
0.0729167, 1, 105, 24.5833, 2.38724, 1.5
0.0972222, 1, 100, 35.4167, 2.50601, 1.625
0.124306, 1, 97, 46.6667, 2.48539, 1.5
0.152778, 1, 114, 57.5, 2.80342, 1.625
0.181944, 1, 111, 66.6667, 2.93299, 1.625
0.213889, 1, 107, 74.5833, 2.98011, 1.75
0.248611, 1, 104, 81.25, 3.02722, 2
0.286806, 1, 89, 87.5, 2.98011, 2
0.326389, 1, 84, 93.75, 2.98011, 2
0.367361, 1, 101, 100, 3.23925, 2
0.408333, 1, 90, 106.667, 3.16857, 1.75
0.451389, 1, 77, 112.917, 3.08612, 1.75
0.495139, 1, 65, 118.333, 2.99189, 1.625
0.538194, 1, 60, 122.5, 2.93299, 1.5
0.579861, 1, 80, 125.417, 3.14501, 1.5
0.622917, 1, 70, 127.083, 3.05078, 1.5
0.665278, 1, 59, 127.917, 2.95655, 1.5
0.706944, 1, 51, 127.917, 2.88587, 1.375
0.747222, 1, 44, 127.083, 2.82698, 1.375
0.788194, 1, 41, 126.25, 2.79164, 1.375
0.829167, 1, 62, 125.417, 2.98011, 1.375
0.870139, 1, 55, 124.167, 2.92121, 1.375
0.910417, 1, 48, 123.333, 2.88587, 1.25
0.951389, 1, 40, 122.5, 2.8152, 1.25
0.993056, 1, 35, 122.083, 2.74453, 1.25
1.03403, 1, 56, 122.5, 2.89765, 1.25
1.07292, 1, 51, 122.5, 2.88587, 1.25
1.11319, 1, 45, 122.083, 2.82698, 1.25
1.15347, 1, 38, 121.667, 2.76808, 1.375
1.19306, 1, 36, 121.25, 2.7563, 1.375
1.23125, 1, 33, 120.417, 2.72097, 1.375
1.26806, 1, 60, 119.167, 2.96833, 1.5
1.30694, 1, 56, 117.917, 2.93299, 1.5
1.34583, 1, 51, 116.667, 2.88587, 1.5
